,name,main_temp,main_feels_like,main_temp_min,main_temp_max,main_pressure,main_humidity,wind_speed,wind_deg,sunrise_hour,sunset_hour
0,Paris,11.680000000000007,10.210000000000036,10.620000000000005,13.07000000000005,1025,50,7.72,60,07:24,20:22
1,Arrondissement de Marseille,18.150000000000034,16.930000000000007,14.53000000000003,19.260000000000048,1009,35,4.47,272,07:16,20:05
2,Arrondissement de Lyon,7.6200000000000045,6.6200000000000045,7.03000000000003,8.170000000000016,1019,74,1.79,63,07:18,20:11
3,Toulouse,13.010000000000048,11.990000000000009,12.650000000000034,13.230000000000018,1019,62,5.66,320,07:32,20:21
4,Arrondissement de Nice,9.730000000000018,8.360000000000014,8.900000000000034,9.890000000000043,1010,58,2.72,211,07:09,19:58
5,Arrondissement de Nantes,8.960000000000036,6.230000000000018,7.810000000000002,8.960000000000036,1024,71,5.14,70,07:42,20:37
6,Strasbourg,7.9500000000000455,4.400000000000034,6.840000000000032,8.490000000000009,1025,49,6.69,60,07:03,20:00
7,Montpellier,18.360000000000014,17.27000000000004,18.05000000000001,18.710000000000036,1012,39,7.72,20,07:23,20:12
8,Bordeaux,14.150000000000034,12.950000000000045,14.150000000000034,16.30000000000001,1021,51,3.09,30,07:40,20:31
9,Lille,11.5,9.830000000000041,10.120000000000005,13.300000000000011,1027,43,5.14,50,07:20,20:21
10,Arrondissement de Rennes,11.04000000000002,9.710000000000036,11.020000000000039,11.990000000000009,1025,58,2.06,0,07:41,20:38
11,Arrondissement de Reims,10.879999999999995,9.430000000000007,10.410000000000025,11.140000000000043,1025,54,5.14,60,07:17,20:16
12,Le Havre,10.510000000000048,9.240000000000009,10.510000000000048,10.860000000000014,1026,62,5.14,70,07:33,20:32
13,Arrondissement de Saint-Étienne,5.57000000000005,2.3100000000000023,5.560000000000002,6.2900000000000205,1018,75,4.47,359,07:19,20:11
14,Toulon,18.33000000000004,17.650000000000034,16.810000000000002,22.510000000000048,1008,55,6.69,230,07:15,20:03
15,Arrondissement de Grenoble,1.9800000000000182,-0.9099999999999682,1.9800000000000182,4.5,1017,92,2.75,341,07:14,20:05
16,Dijon,7.980000000000018,4.800000000000011,7.850000000000023,11.29000000000002,1022,76,5.66,30,07:15,20:10
17,Angers,13.78000000000003,12.550000000000011,10.010000000000048,13.78000000000003,1023,51,5.32,51,07:37,20:33
18,Arrondissement de Nîmes,16.33000000000004,15.04000000000002,14.100000000000023,17.310000000000002,1013,39,9.77,350,07:20,20:10
19,Villeurbanne,10.25,9.240000000000009,9.629999999999995,10.580000000000041,1019,73,9.26,340,07:17,20:09
